FGEOIDCT10,Sits in State,Life Expectancy,Average Distance to Transit,Ave Economic Diversity,Ave Road Network Density,Walkability Index,Ave Percent People Without Health Insurance,Ave Population Density,Ave Percent People Unemployed,Ave Physical Inactivity
04013082002,AZ,,859.68,0.51,19.62,11.11,13.82,6200.78,0.71,28.9
04013082007,AZ,75.9,482.3,0.0,21.02,10.66,15.08,7689.22,11.16,31.5
04013082008,AZ,75.9,530.64,0.29,25.31,12.78,26.79,11592.29,4.91,29.1
04013082009,AZ,75.9,535.93,0.32,24.55,13.44,19.81,10130.09,4.54,29.9
04013082010,AZ,,500.72,0.27,25.49,13.33,12.76,11009.58,7.73,28.9
04013082012,AZ,,665.2,0.59,17.84,10.01,15.0,6335.13,5.18,28.5
04013082016,AZ,,894.53,0.78,9.88,13.0,9.13,1584.47,3.81,25.9
04013082018,AZ,78.3,459.2,0.49,21.89,12.52,29.82,10534.14,3.88,29.6
04013082028,AZ,75.9,516.49,0.6,24.13,14.0,31.75,9700.99,8.32,32.1
04013082203,AZ,,,0.38,18.3,6.38,12.04,6664.35,2.24,29.01
04013082204,AZ,77.3,,0.48,7.79,6.19,21.94,1928.05,4.52,30.2
04013082205,AZ,78.5,,0.36,20.44,6.88,18.54,7186.89,5.12,30.9
04013082206,AZ,,,0.42,6.81,4.5,13.1,1679.63,2.59,31.7
04013092719,AZ,78.2,617.64,0.36,18.32,10.47,15.16,4935.98,3.86,22.8
04013103205,AZ,79.7,682.63,0.47,23.3,10.2,10.6,2428.32,5.28,19.4
04013103206,AZ,83.1,,0.69,19.36,8.85,0.7,2292.33,2.59,22.1
04013103207,AZ,79.1,810.04,0.52,20.44,11.82,0.92,2434.25,2.87,16.5
04013103208,AZ,82.2,645.42,0.55,23.42,14.62,2.57,3051.04,6.73,19.3
04013103209,AZ,80.5,760.73,0.69,16.86,12.9,1.85,1925.36,0.78,14.4
04013103210,AZ,79.1,444.8,0.38,27.13,13.0,7.01,8603.0,2.23,22.8
04013103211,AZ,78.6,630.2,0.79,23.02,15.26,2.75,4398.03,3.88,19.5
04013103212,AZ,79.2,849.62,0.48,24.83,12.99,7.06,4195.69,1.7,16.3
04013103214,AZ,78.2,759.07,0.6,23.58,11.23,2.68,3769.0,1.33,18.8
04013103215,AZ,79.8,663.68,0.72,19.35,14.63,7.12,2970.62,1.69,21.0
04013103216,AZ,80.0,552.11,0.56,24.86,13.74,2.54,5420.9,2.53,18.1
04013103217,AZ,81.0,671.25,0.55,24.85,13.21,3.63,5678.09,3.58,17.4
04013103219,AZ,81.3,722.28,0.61,21.12,12.22,2.95,3128.08,0.34,18.2
04013103220,AZ,81.4,645.49,0.7,22.03,13.23,3.22,3039.62,2.8,16.7
04013103302,AZ,77.4,638.74,0.65,28.34,13.94,15.43,6224.15,5.0,25.1
04013103303,AZ,76.8,472.8,0.49,29.07,14.16,17.13,3858.91,4.38,22.6
04013103304,AZ,74.8,447.5,0.52,27.78,14.8,20.87,10825.81,6.28,34.0
04013103305,AZ,75.8,609.39,0.78,24.4,15.74,33.48,12770.07,11.97,40.5
04013103306,AZ,70.8,712.64,0.58,27.14,12.99,23.37,13960.06,4.45,33.9
04013103400,AZ,77.7,619.18,0.63,29.05,14.15,11.53,3849.94,5.14,21.8
04013103501,AZ,81.0,549.83,0.58,19.41,14.04,9.5,3904.96,2.03,20.7
04013103502,AZ,79.6,518.88,0.61,22.23,13.76,12.11,3484.04,6.75,23.0
04013103604,AZ,78.0,582.12,0.42,26.33,14.01,22.4,3717.63,1.03,25.2
